start,end,StartIdx,StopIdx,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0 days,0 days 00:00:05,0.0,5.0,28.270868,0.30413848,17.718695,27.16019,37.118305,19.39961,341.28937,521.49615,120.90957,102.89639,0.7136454,0.45442617,0.3991604,0.631563,0.9789032,0.5797428,9.16354,6.8399506,4.1844616,2.6044962,0.49403512,0.65865713,31.00237,0.25956854,5.24587,2.0594165,6.944269,1.3854666,0.9092982,9.52253,0.08063721,1.5482002,1.4979143,0.5543425,3.145743,1.9544829,3.2245066,4.0455675,23.840971,0.51611865,646.1765,0.3100707,1400.2753,0.14751449,-37.15646,-1.7444146,1681.8701,0.14117382,1071.2249,0.27450353,-44.123375,-1.3073075,2740.7053,0.09660414,927.2513,0.306772,-49.04654,-1.1421766,-17.122332,-0.36581677,27.790157,0.26312658,0.047883317,0.583277,-0.018676713,-0.38817453,0.52564526,0.59603304,32.26716,0.23471338,5.9814816,1.8219786,7.1954403,1.3708928,0.30036202,29.288902,-9.273532,18.488564,0.029981384,-0.009883289,0.2842339,3.4068139,2.2312374,0.37727273,0.29814854,0.06625,0.045259666,-28.0192
0 days,0 days 00:00:05,5.0,10.0,27.9602,0.3277106,17.814426,26.2494,36.78277,18.968342,287.75345,405.49997,89.74049,68.233055,0.8343174,0.57803345,0.3607577,0.74664164,1.267549,0.9067913,9.349658,5.630522,6.306558,3.9875405,0.53641766,0.6912785,31.815823,0.19857745,3.1278732,3.5862195,2.62996,3.4138174,-2.8219771,-3.1494904,0.09924349,1.6006635,1.345099,0.605867,2.5184414,2.5006073,2.6746747,4.281883,25.53543,0.2552077,670.1157,0.28280187,1349.7402,0.13038325,-27.93798,-2.122008,1665.0906,0.122354895,1017.2299,0.21264054,-37.39087,-1.4487913,2803.2651,0.08934834,838.26843,0.41954675,-45.35441,-1.1298226,-15.030363,-0.3673533,28.079897,0.20877618,0.0505942,0.63548994,-0.01863575,-0.4531706,0.57397765,0.65913314,32.67379,0.18686913,2.4525344,4.7189107,1.8198487,5.0477843,-3.4109426,-2.6700423,-14.686702,24.503328,0.02758868,-0.01685445,0.2830686,1.8036073,2.2312374,0.38909093,0.3793884,0.047777776,0.035832256,-26.515005
0 days,0 days 00:00:05,10.0,15.0,29.637505,0.2497782,21.075193,33.03326,34.261772,13.186579,597.81116,525.41125,79.598335,94.103775,0.8903973,0.47238618,0.4686952,0.81650025,1.2662334,0.7975383,11.849381,7.697204,9.490521,5.404254,0.6600977,0.63726956,31.534805,0.22329798,5.7890835,1.9286724,4.7063513,2.567652,-0.15340842,-60.967575,0.05805246,2.0005414,1.2519869,0.54807484,3.758724,1.570071,9.600731,1.652044,27.161642,0.45793468,613.8603,0.31192008,1414.6565,0.15455508,-35.078854,-1.8706346,1623.217,0.12272833,1044.4464,0.26534373,-45.252026,-1.3026,2749.4849,0.08147455,863.13776,0.43573996,-51.81058,-1.0832722,-16.264606,-0.4193658,28.127605,0.24300304,0.0637187,0.4907373,-0.019561375,-0.5087094,0.7313712,0.5759395,32.649357,0.21113567,5.3043294,2.2140791,4.149477,3.0906155,-0.5023825,-19.705278,-13.696329,24.051138,0.024745451,-0.016803766,0.29478356,4.008016,2.8397567,0.29142857,0.2729693,0.050909087,0.065150805,-25.77654
0 days,0 days 00:00:05,15.0,20.0,27.322163,0.29230568,17.430653,32.367085,33.681305,16.250652,248.98839,128.03552,99.32021,87.95477,0.8247486,0.47014967,0.47265723,0.69787997,1.1523255,0.6796683,12.073068,12.773682,6.0240946,3.4263005,0.5804256,0.6836125,30.546228,0.240979,4.978085,2.0875607,1.8690586,5.8074245,0.6916033,11.209705,0.07093738,1.932988,1.3229349,0.52128214,2.5653272,2.4062421,8.396292,1.403001,29.065767,0.2624059,662.70294,0.26712307,1395.5692,0.11680079,-48.19289,-1.6187274,1642.1245,0.120218046,1090.1646,0.27053136,-54.850315,-1.3264831,2775.4585,0.07177461,880.5297,0.46134853,-62.337406,-1.1086661,-15.761029,-0.41466868,28.582075,0.21588343,0.060585637,0.5035564,-0.016636671,-0.51819634,0.6285822,0.63525295,32.771538,0.18579671,5.8838277,1.6733726,1.5459625,7.401188,-0.43103644,-17.44343,-9.331177,20.66859,0.037681367,-0.012547971,0.41539314,2.6052105,2.2357724,0.34272727,0.4060025,0.094,0.05660389,-27.525127
0 days,0 days 00:00:05,20.0,25.0,28.228472,0.32716224,17.275673,27.572618,37.2932,20.017529,269.5012,233.1845,111.246544,82.39096,1.0967582,0.6216565,0.48739833,0.94197893,1.5892252,1.1018269,9.370056,5.3107195,7.720474,3.9087977,0.75589156,0.75646716,27.094599,0.35527667,0.4784893,25.121473,5.938594,1.3768486,1.4431671,6.5122814,0.08493762,1.5369521,1.433868,0.5919121,2.4886072,2.4803057,0.8519444,16.790821,19.716278,0.7447362,707.4238,0.29295662,1408.7274,0.17936952,-50.42174,-1.5241423,1706.8344,0.13157795,1089.1421,0.24410954,-55.202854,-1.2701894,2796.9749,0.087896094,884.8533,0.42648345,-60.069763,-1.124257,-14.712514,-0.4885067,25.48668,0.300146,0.058711525,0.4821575,-0.016063737,-0.5687184,0.79372853,0.7425061,29.935753,0.26631543,1.9058667,6.419458,5.486433,1.6020384,-0.44172475,-20.17301,-4.095428,12.538604,0.060465157,-0.0072996104,0.6268332,2.8056114,2.4340773,0.3175,0.4049717,0.094444446,0.096391685,-24.949903
0 days,0 days 00:00:05,25.0,30.0,26.432472,0.3173144,17.138445,25.87306,35.108387,17.969942,213.01816,190.1333,110.550095,77.5298,0.7430377,0.41345617,0.44845116,0.6678891,1.0282209,0.57976973,8.032606,4.792477,4.1778927,2.9823477,0.48823828,0.45970908,31.470293,0.20427456,8.137223,1.2400603,8.813196,1.0624747,2.3394427,2.8200428,0.08467045,1.5781682,1.3734349,0.62772727,2.792757,2.2327228,4.6686683,3.3272576,23.501556,0.46307588,729.24176,0.2838844,1390.8914,0.14968218,-21.720383,-1.9057369,1752.0056,0.14126098,1098.9965,0.36528733,-29.682856,-1.2817984,2832.2976,0.091929086,881.25684,0.37288266,-35.788166,-1.0189679,-17.655455,-0.33169124,28.957273,0.24192569,0.046804,0.56327677,-0.018542344,-0.40986094,0.5001661,0.44714162,31.681675,0.20456855,8.132169,1.2502079,9.040573,1.0455538,2.5450184,2.6153204,-14.262715,23.895203,0.03701885,-0.017957568,0.3090676,3.8076155,1.0141988,0.934,0.9966865,0.0425,0.022776084,-27.397495
0 days,0 days 00:00:05,30.0,35.0,26.804201,0.27457148,17.885746,31.284315,33.754166,15.86842,160.77403,84.77905,109.879,52.824856,0.8045403,0.44854012,0.45526487,0.72550374,1.0996209,0.6443561,8.10413,3.6814034,5.2656417,3.024,0.54247224,0.4654765,31.182045,0.2856474,7.40765,1.5147184,4.0738897,2.6479416,1.4967942,5.595182,0.08805948,1.6468697,1.4712701,0.68334234,2.534857,2.1438766,7.5444555,1.5936489,26.927263,0.2695828,560.0817,0.34236193,1390.3944,0.14366156,-32.665356,-1.9837242,1575.5964,0.14675571,1079.6643,0.26472127,-42.16481,-1.4074775,2654.3765,0.10558722,969.6203,0.46543977,-48.60745,-1.1671469,-16.30812,-0.3238514,27.95936,0.1872475,0.054579303,0.5457741,-0.019876316,-0.45220256,0.58353186,0.417831,33.28837,0.1891493,6.189567,1.7437105,4.280057,2.616493,1.2521619,6.7540116,-12.845312,22.015207,0.028898178,-0.015640179,0.3175328,4.008016,2.4291499,0.3458333,0.3065251,0.06375,0.059778236,-28.012753
0 days,0 days 00:00:05,35.0,40.0,31.507166,0.23498498,23.3633,35.77593,36.75516,13.391861,378.42807,552.85864,55.962143,46.190872,0.7581966,0.35586634,0.532967,0.71951705,0.92426896,0.391302,7.61216,4.9837823,3.5255442,2.7201567,0.4325609,0.43392769,30.142925,0.2503031,8.250823,1.2412946,7.171088,1.596568,-0.88512146,-11.042534,0.04826561,1.8481005,1.0965992,0.52774465,6.2939053,0.89062405,5.309433,1.6866907,23.748192,0.29692468,692.44336,0.29339996,1366.6387,0.14466338,-43.730038,-1.5448843,1740.2762,0.15439701,988.8404,0.2952915,-50.074024,-1.2213117,2862.3594,0.09165977,889.899,0.4172123,-55.7154,-1.0516156,-18.64295,-0.3846391,29.664856,0.25465292,0.04440482,0.5211155,-0.020918075,-0.3467362,0.46117842,0.40368715,31.736412,0.20095234,9.390297,1.0319309,6.7180014,1.8022712,-2.0900834,-4.7010694,-8.200524,17.285927,0.023261728,-0.012631477,0.29044497,3.206413,1.8255578,0.4544444,0.36326027,0.10833333,0.11036556,-27.659346
0 days,0 days 00:00:05,40.0,45.0,29.627947,0.2289082,21.834217,33.765728,34.456932,12.622715,295.3054,182.54564,107.87828,88.00457,0.67068875,0.314839,0.4862041,0.6362988,0.8451272,0.35892314,5.0429764,2.6811504,3.0985553,2.4492247,0.4434087,0.43568966,30.548117,0.28534737,13.2377405,0.76203275,10.876574,0.9995545,4.374741,1.7591457,0.0891122,1.7368526,1.1482804,0.65942156,5.29244,1.0583997,11.855835,1.0440797,29.059072,0.34240592,616.91626,0.32693934,1408.6068,0.1480927,-46.524036,-1.4856994,1684.2407,0.15565927,1086.0518,0.28129447,-56.25141,-1.1085993,2774.1382,0.10358319,941.30054,0.3679283,-60.65744,-0.99644506,-21.17706,-0.3098736,31.958055,0.22744884,0.051478114,0.50676954,-0.019156389,-0.2926849,0.48118585,0.39589587,33.000214,0.18985577,13.459477,0.7085579,11.604866,0.95910805,4.8562474,1.6534002,-11.815477,19.32138,0.021442072,-0.015758501,0.26361325,3.206413,2.0283976,0.40099996,0.34294167,0.0811111,0.04840671,-27.710735
0 days,0 days 00:00:05,45.0,50.0,28.047136,0.2912522,17.524643,33.770035,35.844986,18.320343,241.9705,271.82388,105.19292,73.18545,0.7343192,0.33756962,0.50988203,0.7365837,0.9189017,0.40901965,8.456009,5.0480485,3.4801972,2.5946076,0.5177017,0.42731583,32.976383,0.16509314,8.922568,1.1161728,7.5758467,1.2948978,-0.2850556,-29.326635,0.083189696,1.6915557,1.4397471,0.61203814,3.8003848,1.5799079,3.1480875,4.9938383,24.87891,0.4927496,622.7489,0.29792485,1427.5117,0.11811457,-18.139904,-2.1007125,1676.5883,0.1335576,1107.8353,0.25077128,-29.84859,-1.1810566,2783.1667,0.09523126,1008.00104,0.38794664,-36.470364,-0.9129277,-19.461784,-0.322276,31.11171,0.20664741,0.047858436,0.52847373,-0.021601459,-0.3524238,0.52654004,0.42199257,33.108368,0.16576448,9.081969,1.0881064,7.731335,1.2633933,-0.22626531,-37.35099,-13.144,25.803686,0.028386446,-0.016171813,0.37473875,3.8076155,1.2170386,0.78333336,0.50756496,0.03333333,0.0094280895,-27.732166
