start,end,StartIdx,StopIdx,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0 days,0 days 00:00:05,0.0,5.0,26.661856,0.31328356,17.026646,31.617582,34.024776,16.99813,321.08566,514.57874,81.24703,43.979717,0.7833531,0.46010828,0.46780622,0.69635695,1.0630716,0.5952654,8.252366,3.7039573,6.1533628,3.6368196,0.49785447,0.62569976,24.725368,0.4379548,7.8298607,1.9607732,3.6534708,3.0008962,-3.73056,-2.5338705,0.06413074,1.646228,1.4719226,0.5961915,0.5842179,8.742965,1.8213811,6.585891,21.361687,0.42474526,549.427,0.33291695,1342.7527,0.14534593,-46.304504,-1.6212666,1605.933,0.13969061,1111.1172,0.4393973,-54.55319,-1.2660314,2617.6233,0.10810041,994.1765,0.42314357,-59.119675,-1.1277755,-13.518166,-0.3960224,23.392635,0.25786456,0.054241013,0.47287557,-0.021390777,-0.36051422,0.54279053,0.5993482,28.105757,0.27943084,4.9806137,2.7262645,3.6152098,2.7998266,-4.6972566,-1.8844299,-10.605952,16.813875,0.034857817,-0.018131003,0.31636298,4.408818,3.462322,0.21882352,0.15254246,0.07181818,0.059972446,-30.502445
0 days,0 days 00:00:05,5.0,10.0,28.326853,0.23875378,20.033127,31.366495,33.57414,13.541012,223.68002,180.94826,111.371666,76.49988,0.9275009,0.43258637,0.58540964,0.80340815,1.2268412,0.64143157,11.782845,9.555107,6.709367,3.908228,0.557536,0.55996245,23.360092,0.3251449,2.9395046,3.578671,9.662781,0.93691814,-5.609244,-1.8270319,0.084177315,1.8836559,1.4241264,0.51751035,2.078082,2.2166088,1.0444747,7.1406913,19.136402,0.38160446,543.021,0.37696293,1323.7555,0.16053946,-52.281094,-1.5511004,1633.6792,0.13485084,945.004,0.41619918,-57.92585,-1.2835625,2653.1082,0.10200678,944.93494,0.50059706,-60.073353,-1.2196485,-12.486234,-0.40190762,20.042683,0.358041,0.05966579,0.4161784,-0.02165252,-0.38450277,0.5788666,0.4880258,25.342583,0.24710748,2.2288234,4.454642,9.713419,0.9463204,-6.178332,-1.6811929,-8.776986,15.749343,0.038343575,-0.014837163,0.48682243,4.008016,3.4552846,0.21058822,0.22843379,0.07071429,0.059577595,-29.496374
0 days,0 days 00:00:05,10.0,15.0,28.562994,0.30846775,17.421753,33.601246,36.283955,18.862202,172.594,179.2581,99.585304,63.428284,0.85670197,0.46083367,0.4629606,0.78039217,1.1734252,0.7104646,7.7335353,4.0154915,5.560472,3.37542,0.6011944,0.5696933,25.787376,0.34262303,8.952474,1.4641778,5.381363,2.5132592,-7.1079226,-1.5289593,0.05515043,1.448328,1.2961888,0.5211337,2.384551,2.573574,4.8963,1.7334523,22.682802,0.38255134,615.7361,0.32058287,1392.7218,0.17914486,-49.772,-1.4838555,1695.9724,0.15452676,1012.5958,0.41631228,-56.477474,-1.1776284,2786.0857,0.104992814,862.824,0.43453282,-60.2382,-1.0716728,-15.449563,-0.45304784,25.471931,0.31284,0.050237097,0.5998788,-0.019514102,-0.49803957,0.63303715,0.5494439,27.232656,0.2909629,8.843778,1.4110239,6.334709,2.2025642,-7.693652,-1.3222377,-10.567799,18.683949,0.037865005,-0.015443896,0.44468537,2.6052105,2.834008,0.27571428,0.23810904,0.06666666,0.035433818,-27.82533
0 days,0 days 00:00:05,15.0,20.0,27.336935,0.34577057,17.071257,26.716682,36.09124,19.019983,194.93314,165.55568,74.88843,59.14813,0.7814955,0.43594876,0.4700815,0.7162721,1.0649219,0.59484035,7.037039,3.6211374,6.174414,3.9326599,0.5358236,0.5996791,28.386044,0.24909183,7.4992356,1.3248081,5.307023,2.0432913,-5.7558475,-1.610015,0.06235943,1.5916169,1.3764817,0.59150434,2.2473247,2.5014188,2.3201013,4.708507,23.79794,0.39478934,645.65826,0.30353338,1357.2102,0.1582932,-32.490585,-1.8758115,1691.2297,0.14395629,1008.7245,0.2854966,-40.343716,-1.3429254,2787.0088,0.083891965,847.48035,0.3858102,-45.71358,-1.1449139,-16.163094,-0.3671846,26.63531,0.23045455,0.05003962,0.5348138,-0.022174198,-0.39296418,0.55911696,0.5699679,29.812454,0.18158968,6.58729,1.4340686,5.9552073,1.8550391,-6.725246,-1.3629729,-11.945527,19.960608,0.036813423,-0.015238925,0.41110983,3.0060122,2.443992,0.3525,0.46527994,0.055714287,0.033745747,-28.461887
0 days,0 days 00:00:05,20.0,25.0,19.874323,0.3151797,16.54809,17.149654,22.077204,5.529114,200.80374,187.66031,149.74149,210.89812,0.534605,0.61992234,0.37176383,0.3950695,0.58240706,0.21064323,4.3776383,2.926166,4.638534,2.7302523,0.27946055,0.5757723,24.685379,0.11400198,8.078341,1.1139573,7.0984535,0.63303703,-3.589027,-1.8179027,0.12020844,1.3890355,1.470813,0.6144954,-2.4409683,-2.0324116,0.9981213,11.177714,22.756845,0.40431467,622.18884,0.3074692,1430.6754,0.114920035,-63.80361,-1.2470528,1674.6133,0.13745528,1222.47,0.38557753,-71.31389,-1.0476055,2745.631,0.10019929,1013.734,0.4321897,-74.47782,-0.97872627,-15.012564,-0.18991391,24.023108,0.16307567,0.030703112,0.68398756,-0.018198133,-0.32064095,0.26506442,0.5896133,25.12728,0.09901654,9.551504,0.72097635,7.7922688,0.5321577,-3.0908818,-2.144627,-11.604668,20.848835,0.031798445,-0.012403219,0.30095753,1.2024049,5.668016,0.11464286,0.10952762,0.0545,0.063833766,-34.175247
0 days,0 days 00:00:05,25.0,30.0,25.140802,0.32150555,17.038153,22.356583,34.185673,17.14752,350.35593,570.61774,83.49247,56.667305,0.85050654,0.54884,0.45656604,0.700617,1.1409543,0.6843882,8.8191395,5.1926455,6.6896963,4.3526125,0.59183556,0.6708783,24.949478,0.34934485,6.5899367,2.1936235,7.504278,1.847441,-5.963048,-1.9583702,0.06803963,1.5739931,1.6206619,0.50472164,-0.041650265,-132.6698,1.3298687,9.378479,19.32062,0.5621656,623.08966,0.34175283,1349.4537,0.14923404,-47.165604,-1.5781541,1691.6392,0.13987659,1000.1746,0.42128405,-53.50618,-1.2958,2760.5396,0.0838381,903.43225,0.46348503,-56.581894,-1.19432,-13.6305,-0.46393862,22.35587,0.3127826,0.051804464,0.520652,-0.020405695,-0.45287842,0.64385396,0.625065,27.064058,0.26245388,4.46187,3.0194728,8.889274,1.5560799,-8.159822,-1.2254128,-12.493509,19.55041,0.046073675,-0.020178642,0.4158013,3.0060122,3.4552846,0.22117646,0.15955387,0.06583333,0.059506066,-28.685278
0 days,0 days 00:00:05,30.0,35.0,27.23849,0.28150922,17.77245,31.268908,34.181484,16.409035,247.0182,203.07436,81.25598,52.927574,0.897271,0.39874396,0.5515578,0.8303501,1.195389,0.64383125,7.731712,3.819634,6.0754685,3.0219624,0.60658646,0.59023374,26.594992,0.3271289,3.078672,3.3753784,9.245705,1.0227084,-4.724252,-1.771068,0.07032994,1.6478173,1.4966325,0.67662996,1.3005664,4.378967,2.4282532,5.4501348,18.96067,0.67741215,609.6762,0.34064472,1297.8905,0.1740823,-48.68757,-1.5452124,1680.9736,0.13087747,972.5866,0.38610482,-55.999264,-1.2445755,2734.655,0.09837394,941.97034,0.4838719,-59.075775,-1.1535783,-13.975537,-0.40014264,21.421904,0.3267835,0.052421644,0.52921987,-0.02187308,-0.35041037,0.6670724,0.56549853,28.917912,0.23817839,2.3179271,4.32206,8.951116,1.1160709,-4.4230704,-1.959878,-9.056478,14.539368,0.03842399,-0.018274317,0.4008722,4.8096194,3.0364373,0.25,0.23380904,0.06615385,0.04216058,-27.411781
0 days,0 days 00:00:05,35.0,40.0,19.465252,0.31799898,15.81794,16.999577,21.159332,5.3413925,114.14904,61.211224,83.34243,67.38957,0.5661411,0.37315995,0.4146979,0.49606228,0.66355395,0.24885607,3.9959354,1.9340768,2.2394917,1.9463986,0.33968592,0.44481006,25.197544,0.16841568,8.255203,0.9778727,9.071501,0.861932,-2.6284764,-2.3241122,0.115819484,1.1217529,1.7365351,0.6067308,-2.8465137,-1.3914431,-0.999747,-15.886644,20.174788,0.7783354,616.5607,0.3291114,1421.8572,0.12954554,-41.056038,-1.6364459,1684.803,0.121690534,1115.9879,0.30687726,-49.90627,-1.2619433,2738.823,0.10567852,990.5355,0.45668736,-52.840557,-1.1667373,-15.102125,-0.30706888,23.525843,0.27282983,0.03449157,0.5566939,-0.01898234,-0.28840154,0.3365069,0.44504717,25.698145,0.14748731,8.519112,0.96223396,9.140547,0.86262095,-2.1134605,-2.6771083,-11.896727,19.535643,0.035407566,-0.01729779,0.36984625,2.204409,4.462475,0.17545454,0.25218546,0.036875,0.019911915,-35.21639
0 days,0 days 00:00:05,40.0,45.0,23.204536,0.34935528,16.423927,18.048317,34.103,17.679073,180.85553,103.79554,83.551895,60.662853,0.5535083,0.31069586,0.40780538,0.51351404,0.68088317,0.2730778,5.2645187,3.1759186,2.965318,2.4508104,0.32255825,0.39237064,25.325281,0.29342127,10.907045,0.71823865,7.4013724,1.0183197,-1.6799543,-4.36324,0.08847971,1.4656696,1.2636373,0.55151016,0.11911025,47.12467,0.852715,8.265678,22.951735,0.26819196,642.3279,0.33237496,1381.452,0.16239892,-57.937546,-1.3204738,1703.239,0.14974254,1095.2269,0.30288026,-64.86905,-1.0838753,2779.4663,0.11393153,917.0896,0.4298468,-68.496925,-0.999167,-16.664114,-0.26030216,26.383924,0.24408506,0.032054573,0.56141293,-0.01888727,-0.33467293,0.33975205,0.3957408,27.73021,0.15144795,9.865434,0.6570625,8.126154,0.93980575,-2.5643086,-2.6600347,-11.483266,18.628456,0.030148065,-0.014262775,0.27447063,3.0060122,3.4693878,0.2117647,0.18147224,0.07076923,0.06498065,-34.15018
0 days,0 days 00:00:05,45.0,50.0,20.531786,0.3128604,16.208143,17.49046,30.868317,14.660173,232.44637,431.49606,89.86355,81.7225,0.5606063,0.4888072,0.38895133,0.41832218,0.6937017,0.30475035,5.0592117,2.692496,3.7872453,1.5837997,0.307776,0.46218044,24.95124,0.18834507,8.938384,0.9553277,7.886533,0.9711491,-5.558014,-1.445431,0.07305636,1.3708165,1.4886577,0.57795364,-2.406114,-1.980548,-0.34364924,-35.835987,21.691975,0.53161013,542.12384,0.32419518,1414.3546,0.21787782,-38.38143,-1.8717961,1623.5414,0.118914984,1064.7421,0.3559342,-48.851288,-1.3625449,2704.5232,0.0852189,994.23126,0.5198546,-52.140446,-1.2444586,-15.0334635,-0.2328128,23.848448,0.22868213,0.040447358,0.63268375,-0.019107617,-0.3356234,0.31214708,0.44442186,25.579088,0.15643309,8.626546,1.0245887,8.402677,0.91257197,-5.628272,-1.4722649,-12.754161,20.53544,0.039926924,-0.01778785,0.3000398,1.6032065,2.6369169,0.30461538,0.28789997,0.07444444,0.023622546,-34.90572
